run_dir,latent_dim,beta,learning_rate,epochs_run,fid,val_loss,val_reconstruction,val_kl,elapsed_seconds
20260613_192748_vae_z128_b0_8_lr0_001_e40,128,0.8,0.001,40,44.88276900402795,471.1535644143725,378.9675137765067,115.23256019713386,512.4282939000987
20260613_190954_vae_z128_b0_5_lr0_001_e40,128,0.5,0.001,40,48.301245967111754,428.8065991792225,357.7039842393663,142.2052259172712,492.2122349999845
20260613_193647_vae_z256_b0_5_lr0_0005_e40,256,0.5,0.0005,40,49.21269719130069,419.12645131913445,343.7923044549851,150.66829049246653,531.8733601000858
20260613_200519_vae_z256_b0_8_lr0_001_e40,256,0.8,0.001,40,49.33297068473021,475.4880499751984,388.52466752309647,108.70422900971913,539.1119185000425
20260613_190126_vae_z128_b0_5_lr0_0005_e40,128,0.5,0.0005,40,50.15539219211735,413.5288146003844,334.8924428013393,157.2727427358476,488.2407231000252
20260613_195535_vae_z256_b0_8_lr0_0005_e40,256,0.8,0.0005,40,50.834569241699455,459.00783195374504,364.72449877542164,117.85415860130674,554.2427792999661
20260613_194602_vae_z256_b0_5_lr0_001_e40,256,0.5,0.001,40,51.732762421077325,432.4839421347966,363.2512353515625,138.4654090905568,545.6596742999973
20260613_191853_vae_z128_b0_8_lr0_0005_e40,128,0.8,0.0005,40,52.67413451112316,452.25892271980405,353.2926798502604,123.70779483855716,513.4992636999814
20260613_185301_vae_z64_b0_8_lr0_001_e40,64,0.8,0.001,40,53.110759500249344,472.2444790504092,383.1501963200645,111.36785472082714,483.9815920999972
20260613_183522_vae_z64_b0_5_lr0_001_e40,64,0.5,0.001,40,53.48735293229271,422.2479828171503,356.57522573319693,131.34551044766866,506.9535802999744
20260613_184413_vae_z64_b0_8_lr0_0005_e40,64,0.8,0.0005,40,61.64520090556769,456.14686821831594,364.6198644438244,114.40874789767796,497.34651489998214
20260613_182541_vae_z64_b0_5_lr0_0005_e40,64,0.5,0.0005,40,61.9763401633725,413.1838127015129,346.31742861793157,133.73276978507874,559.6075285000261
