run_dir,previous_run_dir,latent_dim,beta,learning_rate,epochs_run,fid,previous_fid,val_loss,val_reconstruction,val_kl,elapsed_seconds,fid_delta
20260613_223353_vae_z128_b0_8_lr0_001_e80,20260613_192748_vae_z128_b0_8_lr0_001_e40,128,0.8,0.001,80,42.66689574725865,44.88276900402795,430.751308109344,341.1784103345114,111.96611880832248,684.2022509999806,-2.2158732567692994
20260613_230643_vae_z256_b0_8_lr0_001_e80,20260613_200519_vae_z256_b0_8_lr0_001_e40,256,0.8,0.001,80,44.39884487247312,49.33297068473021,429.3226717703683,341.0928127906436,110.28732613699776,700.5414664000273,-4.9341258122570935
20260613_234127_vae_z256_b0_5_lr0_001_e80,20260613_194602_vae_z256_b0_5_lr0_001_e40,256,0.5,0.001,80,44.72528906551145,51.732762421077325,392.77900057353673,324.78525679330977,135.98748508029513,517.5915463999845,-7.007473355565878
20260613_224545_vae_z128_b0_5_lr0_001_e80,20260613_190954_vae_z128_b0_5_lr0_001_e40,128,0.5,0.001,80,46.335239445285,48.30124596711176,381.8483647615947,310.9096282087054,141.87746652754527,646.0321693000151,-1.9660065218267633
20260613_225658_vae_z256_b0_5_lr0_0005_e80,20260613_193647_vae_z256_b0_5_lr0_0005_e40,256,0.5,0.0005,80,46.95315965124021,49.21269719130069,372.9247687833271,299.69098113529265,146.46757529606896,555.7232749999966,-2.259537540060478
20260613_235917_vae_z64_b0_8_lr0_001_e80,20260613_185301_vae_z64_b0_8_lr0_001_e40,64,0.8,0.001,80,47.75357894401205,53.110759500249344,431.4944878859747,341.4761062282986,112.52297588530041,625.2796167000197,-5.357180556237296
20260613_233012_vae_z256_b0_8_lr0_0005_e80,20260613_195535_vae_z256_b0_8_lr0_0005_e40,256,0.8,0.0005,80,48.592834162447474,50.834569241699455,412.77330395895336,320.5254691375248,115.30979445684524,639.3046872999985,-2.2417350792519812
20260613_231904_vae_z128_b0_5_lr0_0005_e80,20260613_190126_vae_z128_b0_5_lr0_0005_e40,128,0.5,0.0005,80,50.34261341858826,50.15539219211735,377.5268016803075,303.4508325582837,148.15194120861236,627.4435223999899,0.18722122647091055
20260613_235026_vae_z128_b0_8_lr0_0005_e80,20260613_191853_vae_z128_b0_8_lr0_0005_e40,128,0.8,0.0005,80,51.13096527596423,52.67413451112316,415.25689497690354,320.0345734902034,119.02790111723401,509.3231262000045,-1.5431692351589277
20260614_001017_vae_z64_b0_5_lr0_001_e80,20260613_183522_vae_z64_b0_5_lr0_001_e40,64,0.5,0.001,80,51.92883247318582,53.48735293229271,379.0023591153584,315.2728198048425,127.45908017113095,572.6172570000635,-1.5585204591068873
20260614_002021_vae_z64_b0_8_lr0_0005_e80,20260613_184413_vae_z64_b0_8_lr0_0005_e40,64,0.8,0.0005,80,57.49877823553797,61.64520090556769,422.9652019585503,332.78446186368427,112.7259216405475,517.6927961999318,-4.146422670029722
20260614_002934_vae_z64_b0_5_lr0_0005_e80,20260613_182541_vae_z64_b0_5_lr0_0005_e40,64,0.5,0.0005,80,60.19304293956674,61.9763401633725,370.77878135075645,304.74239860413564,132.07275667705233,513.0903446000302,-1.7832972238057607
